,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Articles,Full Description,Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,G2 Stack - Total Products Active,Country,City,State,isInTop100,minEstimatedRevenueRange,maxEstimatedRevenueRange,minNumberEmployees,maxNumberEmployees,isCompanyTypeForProfit,isCompanyPrivate,hasWebsite,hasTwitter,hasFacebook,hasLinkedIn,hasContactEmail,hasPhoneNumber
48,doc-doc,https://www.crunchbase.com/organization/doc-doc,"Health Care, Health Insurance, InsurTech, Medical","Bogotá, Distrito Especial, Colombia",doc-doc is a Primary health care telemedicine service focused on specialists.,"29,826",Latin America,Active,01/01/2019,year,0.0,"doc-doc is a HealthTech company that provides: A Digital-Insurance for patients that can Access in seconds to Top Medical Specialists, Psychologist, Nutritionists, Coaches, E-Pharmacy, and Exams; Wellness Benefits for Companies that want to see their employees healthier, happier, and productive; Saas for Hospitals, IPS (Small Hospitals) & Doctors that want to increase their revenue and optimize their operations; Primary-Care Services and Saas for Insurance Companies that want to reduce cost and increase retention of their patients","Financial Services, Health Care",1.0,Gabriel Castillo Szpoganicz,3,Seed,30/09/2020,30000,USD,30000,Pre-Seed,30000.0,USD,30000.0,Pre-Seed,530000.0,USD,530000.0,530000,USD,530000,"StartUp Health, 500 Startups, Start-Up Chile, Seedstars, Carlos Felipe Gutierrez",3.0,6.0,0.0,"30,964",41.0,0.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,Awake,https://www.crunchbase.com/organization/awake-2fdf,"Adventure Travel, Social Entrepreneurship","Bogotá, Distrito Especial, Colombia",Travel experiences platform that connects nature travelers with local hosts in remote and rural destinations of Colombia.,"30,451",Latin America,Active,01/05/2013,day,3.0,"Our purpose is to Inspire and Empower People to Protect Nature, Through Travel We are a community of travelers and hosts deeply concerned about the biodiversity lost in the world That´s why we decided to use tourism as a tool to bring people together, connect and strengthen local hosts and empower them to protect nature. Here you can find great travel experiences in nature and rural destinations, from trekking to whale watching, 4x4 expeditions, birdwatching, cultural immersive experiences with indigenous and local communities, mountaineering or simply contemplate the astonishing views that nature offers. Book directly from local hosts, that will make your trip worth of living, and find an experience that matches your interests, thought just for you: private or very small groups, several comfort levels, different difficulty options and the accommodation you prefer, from a 5 stars eco-lodge to a thousand stars camping site. The best thing is that by traveling with us you boost biodiversity conservation, by empowering local hosts in their efforts to protect nature.","Community and Lifestyle, Travel and Tourism",1.0,Miguel Torres,2,Seed,23/07/2020,500000,USD,500000,Seed,500000.0,USD,500000.0,Seed,870000.0,USD,870000.0,870000,USD,870000,GRUPO BANCOLOMBIA,1.0,1.0,0.0,"31,601",44.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,CIVICO,https://www.crunchbase.com/organization/civico-2,"Big Data, Emerging Markets, Local, Location Based Services, Mobile Payments, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia","We map cities and citizens by crowdsourcing location data to drive transactions between consumers, merchants and brands.","30,901",Latin America,Active,01/09/2012,month,29.0,"CÍVICO is a digital company that maps cities and citizens by crowdsourcing location data to drive transactions between consumers, merchants and brands. CÍVICO is currently up and running in México City, Bogotá and Santiago with more than 4 million monthly active users using our apps and web, 1,000,000 crowdsourced places in its database and 50,000 crowdsourcer´s mapping their cities.  From the consumer perspective, we are solving their daily needs in their city by aggregating all their city in a single app. CÍVICO is a multipurpose app where we are building and mapping the most relevant digital information system which includes local places, news, public transport, bicycles, events, movies, deliveries, and much more. From the business perspective, we are understanding real time consumer behavior by mapping daily life in the city and we connect those consumers with key markets in a city. Currently we are focused on 4 key players in a city: merchants/smb´s, banks, brands and government.","Data and Analytics, Financial Services, Internet Services, Mobile, Navigation and Mapping, Other, Payments, Sales and Marketing, Software",3.0,"Juan Carlos Agudelo, Juan Felipe Castaño, Ricardo Pombo",4,Early Stage Venture,04/03/2019,2000000,USD,2000000,Series A,2000000.0,USD,2000000.0,Series A,11700000.0,USD,11700000.0,11700000,USD,11700000,"Mastercard, Accion",1.0,2.0,2.0,"32,059",49.0,15.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,LOGYSTO,https://www.crunchbase.com/organization/vueltap,"E-Commerce, Logistics","Bogotá, Distrito Especial, Colombia",Tech-enabled e-commerce logistics solution,"31,140",Latin America,Active,01/01/2017,year,3.0,"LOGYSTO allows brands and retailers to sell up to 30% more by revolutionizing the logistics of its direct e-commerce channels making Amazon-like fulfillment possible through the use of technology and the shared economy. The product cycle encompasses e-commerce logistics across the first, middle and last mile including dark stores/urban mini-hubs for expedited fulfillment services.","Commerce and Shopping, Transportation",3.0,"Camilo Arango, David Arango, Maria Elisa Botero",3,Seed,31/05/2020,1300000,USD,1300000,Seed,1300000.0,USD,1300000.0,Seed,2800000.0,USD,2800000.0,2800000,USD,2800000,Condor,0.0,1.0,0.0,"32,306",13.0,0.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
52,Frubana,https://www.crunchbase.com/organization/frubana,"AgTech, B2B, E-Commerce, Logistics, Restaurants","Bogotá, Distrito Especial, Colombia",Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers in LatAm.,"32,289",Latin America,Active,01/06/2018,day,9.0,"Frubana is the everything store for restaurants, sourcing directly from farmers and manufacturers. We are building the railways for (small) B2B e-commerce in LatAm.","Agriculture and Farming, Commerce and Shopping, Food and Beverage, Other, Transportation",1.0,Fabian Gomez Gutierrez,3,Early Stage Venture,25/04/2020,25000000,USD,25000000,Series A,25000000.0,USD,25000000.0,Series A,37000000.0,USD,37000000.0,37000000,USD,37000000,"SoftBank, GGV Capital, Y Combinator, Kairos AR, Tiger Global Management",3.0,8.0,0.0,"33,502",63.0,0.0,Colombia,Bogotá,Distrito Especial,1,1000000.0,10000000.0,101.0,250.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
53,Avianca Holdings,https://www.crunchbase.com/organization/avianca-holdings,Transportation,"Bogotá, Distrito Especial, Colombia","Avianca Holdings SA is a Panamanian company representing integrated several airlines that operate nationally and internationally,","33,483",Latin America,Active,01/01/2009,year,47.0,"Avianca Holdings SA is a Panamanian company representing integrated several airlines that operate nationally and internationally, for which acts as a holding company operation: Aerovías the Continente Americano SA (Avianca), Tampa Cargo SA incorporated in Colombia, Aerolineas Galapagos SA (AeroGal) incorporated in Ecuador, and the companies of Grupo TACA: TACA International Airlines SA, incorporated in El Salvador, Costa Rican SA (LACSA) Airlines established in Costa Rica, Transmerican Airlines SA incorporated in Peru, National Air Services SA (SANSA) . incorporated in Costa Rica, Aerotaxis The Coastal SA, incorporated in Nicaragua and Islander Investment CA de CV (ISLEÑA) incorporated in Honduras The main investments of the holding include: carriers of passengers, freight and related activities related to air transport services through which provides travel services and engineering services, maintenance and operation of specialized care other carriers.",Transportation,0.0,,1,IPO,22/09/2020,2000000000,USD,2000000000,Post-IPO Debt,0.0,,0.0,,0.0,,0.0,2000000000,USD,2000000000,"Citadel, United Airlines",2.0,2.0,1.0,"34,742",13.0,11.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,10000.0,99999.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
54,Addi,https://www.crunchbase.com/organization/addi,"Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Addi is a technology company that provides credit and banking solutions.,"34,010",Latin America,Active,01/01/2018,year,7.0,"Addi is a technology company that provides credit and banking solutions. Addi is headquartered in Bogota, Colombia.",Financial Services,4.0,"Daniel Vallejo, Elmer Ortega, Santiago Suarez, Santiago Suarez",5,Early Stage Venture,22/05/2020,15000000,USD,15000000,Series B,15000000.0,USD,15000000.0,Series B,31300000.0,USD,31300000.0,31300000,USD,31300000,"Andreessen Horowitz, Wayra, Foundation Capital, Village Global, Quona Capital",2.0,9.0,0.0,"35,285",51.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
55,Viva Air,https://www.crunchbase.com/organization/viva-air,"Automotive, Transportation, Travel","Rionegro, Antioquia, Colombia",Viva Air is a Colombian low-cost airline.,"34,726",Latin America,Active,01/01/2017,year,5.0,Viva Air is a Colombian low-cost airline.,"Transportation, Travel and Tourism",0.0,,1,Private Equity,10/05/2019,50000000,USD,50000000,Private Equity,50000000.0,USD,50000000.0,Private Equity,50000000.0,USD,50000000.0,50000000,USD,50000000,Cartesian Capital Group,0.0,1.0,0.0,"36,024",44.0,0.0,Colombia,Rionegro,Antioquia,0,10000000.0,50000000.0,501.0,1000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,LastFood,https://www.crunchbase.com/organization/lastfood,"Food Delivery, Restaurants, Waste Management","Medellín, Antioquia, Colombia",Making food waste sexy,"34,762",Latin America,Active,01/10/2020,month,2.0,"LastFood is a startup that rescues, prevent, and commercializes unsold food from restaurants, food markets, and bakeries in good conditions and at low prices","Food and Beverage, Sustainability, Transportation",1.0,Miguel Rengifo,1,Seed,13/01/2021,100000,USD,100000,Pre-Seed,100000.0,USD,100000.0,Pre-Seed,100000.0,USD,100000.0,100000,USD,100000,,0.0,0.0,0.0,"36,062",28.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
57,Fitpal,https://www.crunchbase.com/organization/fitpal,"Fitness, Training, Wellness","Bogotá, Distrito Especial, Colombia",Fitpal is a monthly membership that gives you unlimited access to over 500 fitness studios in Colombia.,"34,928",Latin America,Active,01/01/2015,year,5.0,"Subscription based fitness passport for LATAM. We believe that fitness shouldn't have frontiers. We are on a mission to offer unlimited access to any Gyms and Fitness Centers anywhere, anytime.","Education, Health Care, Sports",3.0,"Julian Torres, Santiago Aparicio, Santiago Aparicio",2,,06/08/2018,1000000,USD,1000000,Undisclosed,1000000.0,USD,1000000.0,Undisclosed,1000000.0,USD,1000000.0,1000000,USD,1000000,"InQlab, Condor",0.0,2.0,1.0,"36,232",56.0,26.0,Colombia,Bogotá,Distrito Especial,1,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,Melonn,https://www.crunchbase.com/organization/melonn,,"Medellín, Antioquia, Colombia",Melonn enables any retailer to offer an Amazon Prime-like experience to end consumers with its fulfillment & back-end technology services,"37,673",Latin America,Active,05/11/2020,day,0.0,,,0.0,,1,Seed,15/01/2021,2200000,USD,2200000,Pre-Seed,2200000.0,USD,2200000.0,Pre-Seed,2200000.0,USD,2200000.0,2200000,USD,2200000,,0.0,0.0,0.0,"39,068",23.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
59,MUVO,https://www.crunchbase.com/organization/muvo,"Apps, Internet of Things, Ride Sharing, Transportation","Bogotá, Distrito Especial, Colombia",Muvo is the largest dockless e-bike player from Latam,"39,617",Latin America,Active,01/01/2017,year,2.0,"Muvo is a dockless ride-sharing startup from Latin America founded to solve one of the major pain points for people in the region: commuting. Living in a continent full of cities with the worst traffic indexes worldwide and very poor and few transportation alternatives, Muvo rises as a fast, fun, healthy and eco-friendly alternative for commuting.","Apps, Internet Services, Software, Transportation",3.0,"Daniel Otero, Iván Jaramillo, Miguel Ocampo",4,,22/04/2020,2000000,USD,2000000,Corporate Round,2000000.0,USD,2000000.0,Corporate Round,2000000.0,USD,2000000.0,2000000,USD,2000000,"Tpaga, K50 Ventures, Auteco",1.0,3.0,0.0,"41,078",28.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,Telemetrik,https://www.crunchbase.com/organization/telemetrik,"Industrial, Internet of Things, Marketing Automation","Medellín, Antioquia, Colombia","Telemetrik specializes in the design, development, implementation, commercialization, and operation of IoT solutions.","41,465",Latin America,Active,15/09/2006,day,1.0,"Telemetrik is a Colombian company specialized in solutions for telemetry, automation, instrumentation, remote monitoring, and industrial Internet of Things (IIoT). Telemetrik services allow clients to enhance the virtuous cycle of defining, measuring, improving, and achieving investment returns based on sensorization, data capture, telemetry, and the Internet of Things. The company is founded in 2006 and is headquartered in Medellin, Antioquia.","Internet Services, Manufacturing, Sales and Marketing, Software",0.0,,1,Early Stage Venture,01/05/2016,1200000000,COP,420675,Series A,1200000000.0,COP,420675.0,Series A,1200000000.0,COP,420675.0,1200000000,COP,420675,FCP Emprendimiento e Innovación SP,1.0,1.0,0.0,"42,989",11.0,0.0,Colombia,Medellín,Antioquia,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61,Ole,https://www.crunchbase.com/organization/ole-d148,"Environmental Engineering, Food Delivery","Villavicencio, Meta, Colombia",Ole is a delivery app which do ecological compensation for every action in the app.,"42,371",Latin America,Active,01/04/2019,month,0.0,,"Food and Beverage, Science and Engineering, Sustainability, Transportation",0.0,,1,Seed,04/10/2019,150000000,COP,43461,Pre-Seed,150000000.0,COP,43461.0,Pre-Seed,150000000.0,COP,43461.0,150000000,COP,43461,Eduardo Ramirez,0.0,1.0,0.0,"43,931",17.0,0.0,Colombia,Villavicencio,Meta,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
62,Neivor,https://www.crunchbase.com/organization/neivor,Internet,"Bogotá, Distrito Especial, Colombia",Neivor is a fintech company which want to digitalize the administartion and payments made by the residential complexes and buildings .,"42,523",Latin America,Active,,,0.0,,Internet Services,0.0,,1,Seed,18/02/2021,600000,USD,600000,Seed,600000.0,USD,600000.0,Seed,600000.0,USD,600000.0,600000,USD,600000,"Magma Partners, Kai Schmitz, Miguel Mc Allister, Daniel Bilbao, Rodrigo Sánchez-Ríos",1.0,5.0,0.0,"44,090",0.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
63,Mandaos,https://www.crunchbase.com/organization/mandaos,"Automotive, Courier Service, Delivery, Delivery Service, Information Technology, Logistics, Mobile Apps, Outsourcing","Barranquilla, Atlantico, Colombia",Mandaos is a digital platform that connects companies and people with a network of independent messengers,"43,154",Latin America,Active,01/01/2016,year,0.0,"Mandaos is a company that offers a digital platform that connects companies and people with a large network of independent messengers to solve the shipping logistic in Latin America / Colombia. Through the technological infrastructure (mobile application and web application) the independent messengers can take the services and be tracked, and at the same time our clients create and monitor the services achieving complete control and predictive statistics of delivery times.","Administrative Services, Apps, Information Technology, Mobile, Professional Services, Software, Transportation",1.0,Andres Martinez,5,Seed,15/07/2019,150000000,COP,46913,Seed,150000000.0,COP,46913.0,Seed,380000000.0,COP,125629.0,380000000,COP,125629,,0.0,0.0,0.0,"44,749",68.0,0.0,Colombia,Barranquilla,Atlantico,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,Qinaya,https://www.crunchbase.com/organization/qinaya,"Cloud Data Services, Web Development","Canadá, Cundinamarca, Colombia","Qinaya offers a range of web design and development, SEO, print advertising, and corporate graphic line services.","44,001",Latin America,Active,,,0.0,"Qinaya offers a range of web design and development, SEO, print advertising, and corporate graphic line services.","Information Technology, Internet Services, Software",0.0,,2,Seed,23/02/2021,200000,USD,200000,Seed,200000.0,USD,200000.0,Seed,235383.0,USD,235383.0,235383,USD,235383,"Wayra, Breakthrough Capital",0.0,2.0,0.0,"45,617",1.0,0.0,Colombia,Canadá,Cundinamarca,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65,"Alegra, sistema contable, administrativo y de facturación",https://www.crunchbase.com/organization/alegra-sistema-contable-administrativo-y-de-facturación,"Accounting, Apps, E-Commerce, Internet, Mobile Apps, Software","Medellín, Antioquia, Colombia",www.alegra.com es un eficiente y sencillo Sistema de Administración y facturación en la Nube para pequeñas y medianas empresas.,"44,183",Latin America,Active,01/01/2013,year,5.0,www.alegra.com es un eficiente y sencillo Sistema de Administración y facturación en la Nube para pequeñas y medianas empresas. Cuenta con app disponible en IOS y Android. Ganas tiempo y tranquilidad,"Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Professional Services, Software",0.0,,1,,21/01/2020,76000,USD,76000,Debt Financing,0.0,,0.0,,0.0,,0.0,76000,USD,76000,,0.0,0.0,2.0,"45,803",82.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,Autolab,https://www.crunchbase.com/organization/autolab-2,Automotive,"Bogotá, Distrito Especial, Colombia",Autolab is an auto aftermarket platform offering high quality service at scale,"45,297",Latin America,Active,01/01/2014,year,2.0,"As a car owner in Latin America, there are essentially two options for vehicle repair: dealerships which charge exorbitant prices, or informal ""talleres"" (repair shops) which cost less but provide poor service and customer experience. Autolab aims to be the third (and clearly the best) option by creating a brand of auto repair super-centers with expert service and quality customer care, at a price that outcompetes dealerships.",Transportation,1.0,Salvador Zepeda,4,Early Stage Venture,01/09/2017,2600000,USD,2600000,Series A,2600000.0,USD,2600000.0,Series A,3557000.0,USD,3557000.0,3557000,USD,3557000,Polymath Ventures,1.0,1.0,0.0,"46,957",30.0,15.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
67,Valienta,https://www.crunchbase.com/organization/valienta,"E-Commerce, E-Commerce Platforms, Marketplace, Payments, Retail, Retail Technology, Wholesale","Medellín, Antioquia, Colombia",Valienta is a marketplace that enables social sellers to create their own virtual store and supply it with products from renowned brands.,"46,283",Latin America,Active,06/01/2020,day,0.0,"People has been selling to people for thousands of years.  Valienta is a marketplace and wholesale platform that connects social sellers with brands in LatAm. Through our platform, social sellers are able to create and supply their own virtual stores with products from curated brands which in turn come to Valienta to reach and sell in a channel that sells over USD $80 billion worth of goods. We create simple tech tools, financial terms, data insights and logistics solutions to rejuvenate a channel that allows over 40 million social sellers generate additional income.","Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software",3.0,"Jose Gabriel Tamura Lara, Juan Camilo Vallejo, Juan Manuel Botero",1,Seed,16/03/2020,200000,USD,200000,Seed,200000.0,USD,200000.0,Seed,200000.0,USD,200000.0,200000,USD,200000,Y Combinator,0.0,1.0,0.0,"47,979",12.0,0.0,Colombia,Medellín,Antioquia,1,0.0,1000000.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
68,SURA Asset Management,https://www.crunchbase.com/organization/sura-asset-management,Financial Services,"Medellín, Antioquia, Colombia","SURA Asset Management is a company specialized in Savings, Protection and Investment.","46,937",Latin America,Active,01/01/2011,year,0.0,"SURA Asset Management is a company specialized in Savings, Protection and Investment.",Financial Services,0.0,,1,Private Equity,24/12/2018,247000000,USD,247000000,Private Equity,247000000.0,USD,247000000.0,Private Equity,247000000.0,USD,247000000.0,247000000,USD,247000000,Caisse de Depot et Placement du Quebec,1.0,1.0,0.0,"48,658",51.0,0.0,Colombia,Medellín,Antioquia,0,50000000.0,100000000.0,5001.0,10000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
69,Tranqui,https://www.crunchbase.com/organization/tranqui,"Finance, Financial Services, FinTech","Cali, Valle del Cauca, Colombia",Tranqui is a digital financial advisor that combines technology with financial planning to help people make better financial decisions.,"47,378",Latin America,Active,01/01/2017,year,0.0,"Tranqui was born from the idea that financial planning should be accessible to all , without being forced to buy a product, regardless of the interest of financial institutions, without the technicalities or prices of the financial industry.",Financial Services,3.0,"Andres Vasquez, Jorge Gallego, Juan Camilo González Trujillo",2,Seed,19/08/2019,150000,USD,150000,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000,USD,150000,"500 Startups, Y Combinator",0.0,2.0,0.0,"49,116",53.0,19.0,Colombia,Cali,Valle del Cauca,0,1000000.0,10000000.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
70,LoQueNecesito.co,https://www.crunchbase.com/organization/loquenecesito-co,"Commercial Real Estate, FinTech, Real Estate","Bogotá, Distrito Especial, Colombia",Best mortgage credit and online housing for all low and middle class Latin Americans,"47,534",Latin America,Active,01/01/2017,day,6.0,"committed to delivering the best mortgage credit experience and home buying to middle and lower class Latin Americans, through a digital process, big data, maching learning and online offers.","Financial Services, Real Estate",1.0,Andrés Pérez Vargas,2,Seed,30/08/2019,700000,USD,700000,Pre-Seed,700000.0,USD,700000.0,Pre-Seed,910000.0,USD,910000.0,910000,USD,910000,"500 Startups, Angel Ventures Peru",1.0,2.0,0.0,"49,279",43.0,20.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,Credivalores-Crediservicios,https://www.crunchbase.com/organization/credivalores-crediservicios,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Credivalores-Crediservicios, S.A.S. provides consumer loans in Colombia","47,641",Latin America,Active,01/01/2003,year,0.0,"Based in Bogota, Colombia, Credivalores-Crediservicios is a non-banking financial company that provides consumer loans for individuals and small companies. The company also focuses on payroll-deduction loans and consumer lending collected through public utility bills as well as discount of checks and financing of insurance policies to low and middle income individuals. The independent consumer finance company uses its funding received from Gramercy Funds Management to upgrade the company’s entire technology platform combined with various initiatives. Founded in 2003, Credivalores-Crediservicios offers its services to clients in Colombia, Mexico, and the United States.","Financial Services, Lending and Investments",1.0,David Seinjet,2,,29/09/2014,34000000,USD,34000000,Venture - Series Unknown,34000000.0,USD,34000000.0,Venture - Series Unknown,34000000.0,USD,34000000.0,34000000,USD,34000000,"ACON Investment, Gramercy Funds Management",2.0,2.0,0.0,"49,391",25.0,16.0,Colombia,Bogotá,Distrito Especial,0,1000000000.0,10000000000.0,10000.0,99999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,Virgin Mobile Latin America,https://www.crunchbase.com/organization/virgin-mobile-latin-america,"Mobile, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","VMLA is the largest and fastest growing mobile virtual operator with operations in Mexico, Colombia, Chile and Peru.","47,703",Latin America,Active,01/01/2010,year,9.0,"The Virgin Group is a leading international branded investment company and one of the world's most recognized and respected brands.  Conceived in 1970 by Sir Richard Branson, the Virgin Group has gone on to grow successful businesses in sectors ranging from mobile telephony and media to transportation, travel, financial services, hotels, health and fitness, as well as renewable technologies and space tourism. Virgin has created more than 400 branded companies worldwide, employing approximately 50,000 people, in 29 countries.  Its Global branded revenues in 2010 exceeded £11.5 billion (approx. US$18.5 billion).","Hardware, Mobile",4.0,"Jay Metcalfe, Peter Langkilde, Peter Macnee, Phil Wallace",2,Late Stage Venture,16/02/2013,20000000,USD,20000000,Series C,20000000.0,USD,20000000.0,Series C,46500000.0,USD,46500000.0,46500000,USD,46500000,"Virgin Group, ePlanet Capital, Hermes Growth Partners, Souter Investments, Archimedia",1.0,5.0,0.0,"49,456",13.0,10.0,Colombia,Bogotá,Distrito Especial,0,500000000.0,1000000000.0,501.0,1000.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
73,Canacol Energy,https://www.crunchbase.com/organization/canacol-energy,"Energy, Energy Efficiency, Oil and Gas, Renewable Energy","Bogotá, Distrito Especial, Colombia",Canacol Energy Ltd. is a Canadian-based international junior energy company.,"49,057",Latin America,Active,01/01/2008,year,5.0,"Canacol Energy Ltd. is a Canadian-based international junior energy company with production and exploration operations located in South America. The Corporation’s operations are focused in Colombia, Brazil, and Guyana, with offices located in Calgary, Bogota and Rio de Janeiro. The mandate of the Corporation is to build a stable operated production platform, and leverage operational expertise to grow through exploration in each of its focus countries.","Energy, Natural Resources, Sustainability",2.0,"Charle Gamba, David Winter",1,IPO,10/11/2014,100000000,USD,100000000,Post-IPO Equity,100000000.0,USD,100000000.0,Post-IPO Equity,100000000.0,USD,100000000.0,100000000,USD,100000000,,0.0,0.0,0.0,"50,861",31.0,0.0,Colombia,Bogotá,Distrito Especial,0,10000000.0,50000000.0,2000.0,5000.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
74,Datawifi,https://www.crunchbase.com/organization/datawifi,"Internet, Telecommunications, Wireless","Bogotá, Distrito Especial, Colombia","Lead platform in LATAM that helps you to acquire, and qualify sale leads using WiFi networks.","49,411",Latin America,Active,01/01/2019,year,13.0,"We help to connect more than 20MM of unique users in Latin America. Datawifi is an analysis, marketing, and communication platform that uses Wi-Fi networks to attract, retain, and reward its consumers. Datawifi helps you grow your offline presence using your WiFi network. Our platform helps you to know precisely the behavior of the target public, experts in solutions for Government, Retail, Restaurants, and Hospitality.","Hardware, Internet Services, Mobile",3.0,"Andres Gomez, Edwin Pardo, Maria Claudia Osorio Piedrahita",4,Seed,07/12/2019,110000,USD,110000,Pre-Seed,110000.0,USD,110000.0,Pre-Seed,330000.0,USD,330000.0,490000,USD,490000,"IBM, Morro Ventures",2.0,2.0,0.0,"51,231",15.0,16.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,2000.0,5000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
75,EdgeUno,https://www.crunchbase.com/organization/edgeuno,Internet,"Bogotá, Distrito Especial, Colombia","EdgeUno is a Internet, Datacenter and Managed Services provider in Latin America","49,572",Latin America,Active,01/01/2018,year,1.0,"Our portfolio of professional turnkey infrastructure services, deployment, and solutions is the region`s best choice for companies of all sizes who are seeking edge computing and content delivery capabilities with the lowest latency and highest availability. Backed by our customer-obsessed support network of highly specialized professionals, EdgeUno is the partner you need to make your access and expansion to Latin America easy and hassle-free. EdgeUno was founded in Silicon Valley by a team of innovative executives with backgrounds in Equinix, Microsoft, and Yahoo!",Internet Services,2.0,"Lane Patterson, Mehmet Akcin",1,Seed,04/01/2018,500000,USD,500000,Pre-Seed,500000.0,USD,500000.0,Pre-Seed,500000.0,USD,500000.0,500000,USD,500000,,0.0,0.0,0.0,"51,398",32.0,0.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
